model,accuracy,precision,recall,f1,roc_auc,null_acc,n_train,n_test
kNN (no-resample),0.7389,0.4936,0.2301,0.3139,0.722,0.7404,15472,3868
kNN (50/50),0.6365,0.3906,0.7151,0.5053,0.7105,0.7404,8030,3868
CategoricalNB fit_prior=True (no-resample),0.7446,0.5163,0.252,0.3387,0.7205,0.7404,15472,3868
CategoricalNB fit_prior=False (no-resample),0.6461,0.3986,0.7141,0.5116,0.7205,0.7404,15472,3868
CategoricalNB fit_prior=True (50/50),0.6525,0.4038,0.7112,0.5152,0.7206,0.7404,8030,3868
CategoricalNB fit_prior=False (50/50),0.6525,0.4038,0.7112,0.5152,0.7206,0.7404,8030,3868
