model,accuracy,precision,recall,f1,roc_auc,null_acc,n_train,n_test
Decision Tree (no-resample),0.7456,0.5248,0.2112,0.3011,0.7317,0.7404,15472,3868
Decision Tree (50/50),0.6525,0.4055,0.7261,0.5203,0.7282,0.7404,8030,3868
Random Forest (no-resample),0.7497,0.6343,0.0847,0.1494,0.7284,0.7404,15472,3868
Random Forest (50/50),0.645,0.4021,0.755,0.5247,0.7278,0.7404,8030,3868
