model,accuracy,precision,recall,f1,roc_auc,null_acc,n_train,n_test
RF @ scope1_nocutoff,0.6229,0.3883,0.7547,0.5128,0.7209,0.7371,8936,4248
RF @ scope2_2000single,0.645,0.4021,0.755,0.5247,0.7278,0.7404,8030,3868
RF @ era1_2000-2006,0.6128,0.3666,0.6215,0.4612,0.6755,0.7334,2604,1219
RF @ era2_2007-2011,0.6284,0.3867,0.8275,0.5271,0.7589,0.7497,3430,1714
RF @ era3_2012-2018,0.7244,0.489,0.708,0.5784,0.7747,0.7329,1996,936
